,epoch,loss,pcc_train,rmse_train,loss_val,pcc_val,rmse_val,loss_test,pcc_test,rmse_test
0,1,1.8604416367283463,0.29750030116574866,6.492209388304727,1.78486721357638,0.4648969183224161,6.783923741171566,1.851018396393071,0.3925722933699828,6.825381155445289
1,2,1.7597633504485874,0.36919137832184484,6.275582265530318,1.7056114077232396,0.5110647086114958,6.572315873062182,1.773383500727225,0.4364622690247051,6.612766579734947
2,3,1.675110059113066,0.4275170612201702,6.085618540446012,1.650972891731474,0.5346842587254689,6.393601493559247,1.7171973785577908,0.459479144183103,6.423903469521367
3,4,1.595892841981531,0.4919908877862478,5.947427761052648,1.587183025190589,0.5746928817799285,6.23468665307266,1.6598520799286,0.4930595657895993,6.2714986628014
4,5,1.4601112882842875,0.5957687473866903,5.683631430968201,1.4768958426078067,0.6407885801886987,5.947633533793829,1.5604726689169328,0.544965451632154,5.982225151113282
5,6,1.371499573586723,0.623651308438223,5.352103101686509,1.367765636762354,0.6867851042441278,5.5859686007882825,1.4574441803239737,0.5855131648506672,5.629273561022539
6,7,1.2447832367068261,0.6813223800817219,4.949205703861019,1.2830032596549499,0.689535160933652,5.173156942009358,1.3704340129759038,0.5882699670612599,5.205249933124559
7,8,1.1694017628479578,0.6938393118814979,4.622366061765782,1.2061191019489366,0.7044291116026788,4.848311956155399,1.300591637740185,0.5942833551811135,4.880091609425381
8,9,1.1056645394372704,0.7202827592268268,4.409453734093661,1.1592094651748033,0.7101457722717655,4.63663041496108,1.246056469604502,0.6094655555224575,4.668144570112341
9,10,1.0228467984690812,0.7312456788922048,4.0392167079142265,1.0847745218529727,0.7096029561897923,4.262284434024035,1.1559472967830653,0.6133364906779106,4.23308244662697
10,11,1.004031092510112,0.7462807461111893,4.005278446995318,1.0681725944389877,0.7225969273180972,4.231250681467328,1.1543808013589003,0.6160493569290231,4.236101434510595
11,12,0.9611780897374751,0.749373103262526,3.80338286173748,1.0369748405153527,0.7112539445823618,4.029889980906211,1.0846083098212451,0.6280610764294403,3.9352858548239875
12,13,0.916222155327318,0.7641340362071629,3.637646921465242,0.9987281053021198,0.7173406434450734,3.8630031002908938,1.0546929589993337,0.63239558151911,3.803047121073109
13,14,0.8445312319540467,0.7590750659815051,3.2589564236962545,0.9214466179523095,0.7171265812861409,3.4757394149061116,0.9731575378012822,0.6339707622593946,3.40167073804399
14,15,0.8221736232235648,0.7832353177359522,3.2438093870616336,0.906121415129944,0.7288025381749659,3.4458172283495845,0.9543282464652258,0.647261376507706,3.360686738356954
15,16,0.7823908404323049,0.7722317232689951,3.0008810952375056,0.8746400172273023,0.7094111580087311,3.210844718171437,0.8943774906271731,0.6475768063355913,3.0621946784782312
16,17,0.7621862444829975,0.7699872677906195,2.8908802935774665,0.8609071263313423,0.70449644348085,3.122521405580112,0.8960146780892108,0.6299218093764165,2.99976062795172
17,18,0.7548025825270958,0.7773733285541846,2.883506226852218,0.8550955684710145,0.7113861153452609,3.1210223037361167,0.9097858952064083,0.6209544062082497,3.032747100865041
18,19,0.7357797130673753,0.7859156016222932,2.8225609718260505,0.8384928165679261,0.7164855723116577,3.0584063720862615,0.8731668554678794,0.6460007580749008,2.9498373096390007
19,20,0.7025307259604586,0.7920397194209744,2.680812507486191,0.8073666213611299,0.7226932311063771,2.9276060312311585,0.8496272129786537,0.6436400352681926,2.82269620596604
20,21,0.6908153126004006,0.799835189352001,2.653417320410008,0.7997181902403026,0.7183368875967409,2.871938501588477,0.8249695204767551,0.652303747156589,2.7340625910101317
21,22,0.6719603210131847,0.7974331224812865,2.54953409499107,0.7757459388881669,0.7198850384412283,2.7582698482057486,0.8050198129217618,0.6471223407534848,2.613588427622749
22,23,0.6781209030042495,0.7980559915680958,2.5828284812936313,0.7903510902514486,0.7183821398499817,2.8252840106571697,0.8136696318977616,0.655498796664117,2.690343346145277
23,24,0.6822717031190767,0.8069682474832925,2.6392315055285542,0.8049992633419919,0.7215389238746334,2.9111520122084933,0.8340713943398621,0.6533043944339691,2.783574549435188
24,25,0.6904378686159529,0.788208287117518,2.6050224915498372,0.806029962216996,0.7077018418648116,2.860957178544227,0.8192336301235925,0.6501890095385306,2.6969241887720856
25,26,0.6445374944499884,0.8078710552699739,2.4541716933298385,0.7666094759359049,0.7154877590413644,2.6949984158449825,0.7847215931127589,0.6572059271274118,2.5524316740734423
26,27,0.6490664316156382,0.8258911264220621,2.5488966637664396,0.7799620612139847,0.7360672559427457,2.844079329840907,0.7969804888020882,0.6783763188319683,2.6984077193383142
27,28,0.6520513029060241,0.8167449900088006,2.5272364745653237,0.79153581699499,0.7217693433025122,2.8447564581849996,0.8143571285329257,0.6610236320576863,2.7158801708953746
28,29,0.6532761207023836,0.823354156765495,2.5597972305738987,0.8085376546953893,0.724973195482279,2.942581055406063,0.8516097205078605,0.6587734205499489,2.8931422847390986
29,30,0.619174572585363,0.8032973269067156,2.309062170553678,0.7583165852275657,0.7070547236606601,2.6198018207804696,0.7896781484804289,0.6464350862613952,2.5341310874477263
30,31,0.6066721278307909,0.8159033629468773,2.2969740909414647,0.7449554786013028,0.7148966547324891,2.584364011936471,0.7717491536032596,0.654117448890466,2.4752155635781623
31,32,0.6051945290637856,0.8144588969320249,2.283808233047028,0.7510756941448664,0.7004038457986896,2.5569938539190913,0.7669612332502244,0.6466432878200299,2.4213793175312417
32,33,0.5989527731877972,0.822170868240824,2.283447338902282,0.7546814564919124,0.7120582275895208,2.6216401928176456,0.7690591941092353,0.6663401246014831,2.5106564689521087
33,34,0.6014394628535686,0.8127471276406928,2.2581858248306146,0.7411927151109334,0.7018612247449579,2.5134084745344993,0.7494850323818721,0.6602165248811088,2.3882912614337966
34,35,0.5905931873075196,0.8330830000455833,2.2852979367199318,0.7339414924821277,0.7311997460434657,2.594506446584502,0.748672802539202,0.6841325849257449,2.47989435239899
35,36,0.5962123157712373,0.8241518718062728,2.277669066081278,0.750777885370054,0.7130739559489216,2.6061852506459573,0.7613471548646069,0.6666091388715922,2.4731723298094037
36,37,0.5880368951054088,0.835356165259239,2.281609136564,0.7226470680080368,0.7288565980412203,2.528661732205066,0.7448882899126645,0.6677121721199037,2.395290138042938
37,38,0.5955837329091085,0.8211780351382839,2.2626308050986785,0.7430786659173042,0.7173943913717875,2.584970895073672,0.7488231280048938,0.6687886087373753,2.4192700749739706
